DATE,PCE
1/1/1959,306.1
2/1/1959,309.6
3/1/1959,312.7
4/1/1959,312.2
5/1/1959,316.1
6/1/1959,318.2
7/1/1959,317.8
8/1/1959,320.2
9/1/1959,324.2
10/1/1959,322.8
11/1/1959,322.9
12/1/1959,322.9
1/1/1960,323.6
2/1/1960,325.3
3/1/1960,330.2
4/1/1960,336.5
5/1/1960,330
6/1/1960,330.1
7/1/1960,331.4
8/1/1960,331.6
9/1/1960,333.4
10/1/1960,335.4
11/1/1960,335.4
12/1/1960,331.3
1/1/1961,332.2
2/1/1961,333.7
3/1/1961,337.7
4/1/1961,337.6
5/1/1961,339.9
6/1/1961,340.9
7/1/1961,340.6
8/1/1961,342.1
9/1/1961,344.4
10/1/1961,346.5
11/1/1961,349.9
12/1/1961,352.4
1/1/1962,353.2
2/1/1962,354
3/1/1962,357.4
4/1/1962,359
5/1/1962,362
6/1/1962,360.4
7/1/1962,361.4
8/1/1962,362.9
9/1/1962,368.8
10/1/1962,366.5
11/1/1962,371.7
12/1/1962,373.6
1/1/1963,374.4
2/1/1963,373.4
3/1/1963,375
4/1/1963,376.4
5/1/1963,377.2
6/1/1963,381.7
7/1/1963,384.4
8/1/1963,386.3
9/1/1963,385.5
10/1/1963,386
11/1/1963,389.4
12/1/1963,394.7
1/1/1964,396.8
2/1/1964,400.2
3/1/1964,401.8
4/1/1964,402.8
5/1/1964,408.4
6/1/1964,411.4
7/1/1964,414.9
8/1/1964,417.7
9/1/1964,416.6
10/1/1964,419.6
11/1/1964,416.4
12/1/1964,421
1/1/1965,424.4
2/1/1965,431.4
3/1/1965,433.3
4/1/1965,437.1
5/1/1965,437.6
6/1/1965,435.2
7/1/1965,441
8/1/1965,444.4
9/1/1965,452
10/1/1965,458.5
11/1/1965,459.1
12/1/1965,461.7
1/1/1966,465.2
2/1/1966,470.2
3/1/1966,475
4/1/1966,476.9
5/1/1966,473.1
6/1/1966,475.5
7/1/1966,480.6
8/1/1966,483.2
9/1/1966,489.2
10/1/1966,488.3
11/1/1966,490.1
12/1/1966,491.8
1/1/1967,494.2
2/1/1967,493
3/1/1967,495.8
4/1/1967,501.3
5/1/1967,502.2
6/1/1967,506.8
7/1/1967,506.7
8/1/1967,509.8
9/1/1967,515.6
10/1/1967,512.2
11/1/1967,517.4
12/1/1967,525.1
1/1/1968,530.9
2/1/1968,533.6
3/1/1968,544.3
4/1/1968,544
5/1/1968,549.8
6/1/1968,556.3
7/1/1968,563.2
8/1/1968,567
9/1/1968,568.2
10/1/1968,571.6
11/1/1968,576.7
12/1/1968,576.5
1/1/1969,583.5
2/1/1969,588.7
3/1/1969,588.9
4/1/1969,593.9
5/1/1969,600.3
6/1/1969,600.9
7/1/1969,602.7
8/1/1969,609.9
9/1/1969,613.2
10/1/1969,618.5
11/1/1969,620.5
12/1/1969,622.8
1/1/1970,628.7
2/1/1970,634
3/1/1970,632.3
4/1/1970,636
5/1/1970,642.4
6/1/1970,646.3
7/1/1970,648.5
8/1/1970,652.9
9/1/1970,659.1
10/1/1970,658.3
11/1/1970,656.6
12/1/1970,665.6
1/1/1971,676.1
2/1/1971,679.4
3/1/1971,682
4/1/1971,688.8
5/1/1971,691.1
6/1/1971,699.8
7/1/1971,698.9
8/1/1971,704.9
9/1/1971,713
10/1/1971,715.8
11/1/1971,720.9
12/1/1971,728.4
1/1/1972,731.5
2/1/1972,736.2
3/1/1972,749.2
4/1/1972,752.5
5/1/1972,758
6/1/1972,761.6
7/1/1972,769.9
8/1/1972,776.3
9/1/1972,781.1
10/1/1972,794.9
11/1/1972,800.5
12/1/1972,806.1
1/1/1973,816.5
2/1/1973,825.8
3/1/1973,832.8
4/1/1973,835.7
5/1/1973,841.6
6/1/1973,844.3
7/1/1973,854.1
8/1/1973,853.3
9/1/1973,869.2
10/1/1973,868.2
11/1/1973,876.9
12/1/1973,876.6
1/1/1974,884.5
2/1/1974,889.7
3/1/1974,901.4
4/1/1974,910.8
5/1/1974,922.4
6/1/1974,928
7/1/1974,937.9
8/1/1974,954.8
9/1/1974,955.1
10/1/1974,959.2
11/1/1974,956.2
12/1/1974,961.8
1/1/1975,975.6
2/1/1975,989.4
3/1/1975,990.6
4/1/1975,995
5/1/1975,1018.9
6/1/1975,1026.8
7/1/1975,1039.8
8/1/1975,1047
9/1/1975,1054.8
10/1/1975,1060.9
11/1/1975,1075.8
12/1/1975,1092.1
1/1/1976,1107.1
2/1/1976,1107.7
3/1/1976,1114.9
4/1/1976,1125.4
5/1/1976,1122.7
6/1/1976,1140.5
7/1/1976,1149.6
8/1/1976,1158
9/1/1976,1168.8
10/1/1976,1176.8
11/1/1976,1189
12/1/1976,1211.5
1/1/1977,1215
2/1/1977,1231.3
3/1/1977,1238.3
4/1/1977,1247.3
5/1/1977,1257.1
6/1/1977,1263.6
7/1/1977,1280.5
8/1/1977,1285.7
9/1/1977,1294.5
10/1/1977,1311.4
11/1/1977,1327
12/1/1977,1336
1/1/1978,1329.5
2/1/1978,1355.1
3/1/1978,1377.5
4/1/1978,1396.4
5/1/1978,1412
6/1/1978,1425.8
7/1/1978,1426.8
8/1/1978,1447
9/1/1978,1452.9
10/1/1978,1466.9
11/1/1978,1480.6
12/1/1978,1496.5
1/1/1979,1502.4
2/1/1979,1517.8
3/1/1979,1531.2
4/1/1979,1538.4
5/1/1979,1558.8
6/1/1979,1575.7
7/1/1979,1586.1
8/1/1979,1615.6
9/1/1979,1633.9
10/1/1979,1641.6
11/1/1979,1657.3
12/1/1979,1666.3
1/1/1980,1697.3
2/1/1980,1701.4
3/1/1980,1708.2
4/1/1980,1695.2
5/1/1980,1700.1
6/1/1980,1718.8
7/1/1980,1747.1
8/1/1980,1763.8
9/1/1980,1780.5
10/1/1980,1817.1
11/1/1980,1826.8
12/1/1980,1851.7
1/1/1981,1870
2/1/1981,1884.2
3/1/1981,1902.9
4/1/1981,1904.4
5/1/1981,1913.8
6/1/1981,1934.5
7/1/1981,1942.1
8/1/1981,1966.6
9/1/1981,1965.5
10/1/1981,1963.9
11/1/1981,1970.6
12/1/1981,1988.8
1/1/1982,1997.1
2/1/1982,2021.2
3/1/1982,2024.1
4/1/1982,2026.3
5/1/1982,2044.5
6/1/1982,2048.1
7/1/1982,2072.2
8/1/1982,2080.1
9/1/1982,2104.6
10/1/1982,2125.8
11/1/1982,2149.3
12/1/1982,2161.6
1/1/1983,2174
2/1/1983,2177
3/1/1983,2202.8
4/1/1983,2226.4
5/1/1983,2245.9
6/1/1983,2276
7/1/1983,2304.4
8/1/1983,2320.4
9/1/1983,2334.9
10/1/1983,2357.6
11/1/1983,2366.3
12/1/1983,2393.6
1/1/1984,2419.4
2/1/1984,2403.5
3/1/1984,2431.6
4/1/1984,2457.5
5/1/1984,2474.5
6/1/1984,2495.6
7/1/1984,2494.6
8/1/1984,2512.2
9/1/1984,2533.8
10/1/1984,2531.3
11/1/1984,2571.4
12/1/1984,2582.6
1/1/1985,2618.8
