Date,Unemployment Rate
Jan-22,3.7
Dec-21,3.6
Jan-21,6
Jan-20,3.2
Apr-20,14.1
Jun-20,10.6
Dec-20,6.4
Jan-19,3.6
Dec-19,3.2
Dec-18,3.6
Jan-18,3.7
Dec-17,4.3
Jan-17,4.3
Dec-16,4.6
Jan-16,4.4
Dec-15,4.6
Jan-15,5.2
Dec-14,5.1
Jan-14,6.1
Dec-13,6.2
Jan-13,7.4
Dec-12,7.3
Jan-12,7.7
Dec-11,7.9
Jan-11,8.5
Dec-10,8.7
Jan-10,9.1
Dec-09,9.2
Jan-09,7.2
Dec-08,5.9
Jan-08,4.4
Dec-07,4.4
Jan-07,4.1
Dec-06,3.9
Jan-06,4.2
Dec-05,4.3
Jan-05,4.7
Dec-04,4.7
Jan-04,5.1
Dec-03,5.1
Jan-03,5.2
Dec-02,5.4
Jan-02,5.1
Dec-01,5.1
Jan-01,3.6
Jan-00,3.5
Dec-00,3.4
